2018-01-16 17:33:58,839 [Worker-72] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Lab16:Lab16:0.0.1-SNAPSHOT @ D:\HIBERNATE\Lab16\pom.xml.
2018-01-16 17:33:59,754 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-16 17:33:59,780 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-01-16 17:33:59,790 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-16 17:33:59,791 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\HIBERNATE\Lab16\src\test\resources
2018-01-16 17:33:59,801 [Worker-72] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Lab16/src
2018-01-16 17:33:59,801 [Worker-72] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Lab16/src overlaps with sources folder /Lab16/src
2018-01-16 17:33:59,808 [Worker-72] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Lab16/src/test/java because it overlaps with /Lab16/src
2018-01-16 17:34:00,338 [Worker-73] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Lab16:Lab16:0.0.1-SNAPSHOT @ D:\HIBERNATE\Lab16\pom.xml.
2018-01-16 17:34:00,483 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-16 17:34:00,487 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-16 17:34:00,489 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
